GitHub slug,Latitude,Longitude,Geocode precision
despensa-r,38.7223,-9.1393,city
desplastificate,19.4326,-99.1332,city
difold,42.6977,23.3219,country
dilute,60.1699,24.9384,country
dispo-plastik,41.0082,28.9784,city
divers-clean-action,-6.2088,106.8456,city
dizzie,51.5074,-0.1278,city
dotch,52.52,13.405,city
dpd,52.52,13.405,country
dsf-lsi,37.5665,126.978,city
dukkan-kadikoy,41.0082,28.9784,city
earthhero,39.8283,-98.5795,country
earthware,-26.2041,28.0473,city
earthway-refill,51.8985,-8.4756,city
ebebek,41.0082,28.9784,city
ec30,39.8283,-98.5795,country
ecandi,-1.2921,36.8219,city
eccbc-unido-pet-pilot,33.5731,-7.5898,city (manual)
ecoalf-venezuela,10.4806,-66.9036,country
ecoamigos,10.4806,-66.9036,country
eco-and-amour,43.6532,-79.3832,city
eco-and-more,39.9042,116.4074,country
ecobag,48.8566,2.3522,country
eco-blocks-and-tiles,-1.2921,36.8219,country
ecoceno,38.7223,-9.1393,country
ecocitex,-33.4489,-70.6693,city
ecodis,48.8566,2.3522,country
eco-eclectic,39.8283,-98.5795,country
eco-ego,52.2297,21.0122,country
ecoelephant,-33.9249,18.4241,city
ecoenclose,39.8283,-98.5795,country
ecoliving,51.5074,-0.1278,country
econowca,43.6532,-79.3832,city (manual)
ecopanplas,-23.5505,-46.6333,city
ecopost,-1.2921,36.8219,city
eco-product,24.8607,67.0011,city
eco-refillery,49.2827,-123.1207,city
ecoroots,39.8283,-98.5795,country
ecostore,-36.8485,174.7633,city
ecostore-japan,35.6762,139.6503,country
ecostore-papalagi,35.6762,139.6503,country
eco-tienda-verde,40.4168,-3.7038,country
eco-trace,-1.2921,36.8219,country
ecotutu,6.5244,3.3792,country
ecou,1.3521,103.8198,country
ecourage,38.7223,-9.1393,country
ecover,50.8503,4.3517,country
ecovibe,51.5074,-0.1278,city
ecoworks,1.3521,103.8198,country
effecorta,45.4642,9.19,city
ekoh-store,-36.8485,174.7633,city
ekolo,60.1699,24.9384,country
ekoplaza,52.3676,4.9041,country
ekopullo,60.1699,24.9384,country
elamise-kergus,59.437,24.7536,country
elate-cosmetics,45.4215,-75.6972,country
e-mart,37.5665,126.978,city
embol,-16.4897,-68.1193,country
emmaus-france,48.8566,2.3522,city
envie,48.8566,2.3522,country
enviu,52.3676,4.9041,country
ernies-zero-waste-shop,51.5074,-0.1278,country
estado-natural,19.4326,-99.1332,city
etee,45.4215,-75.6972,country
ethique,39.8283,-98.5795,country
event-cup,47.2184,-1.5536,city
everdrop,48.1351,11.582,city
evy-cafe,46.948,7.4474,country
excess-materials-exchange,52.3676,4.9041,city
expandfibre,60.1699,24.9384,country
ezaar-collective,28.6139,77.209,country
faerly,53.3498,-6.2603,country
fairphone,52.3676,4.9041,city
faith-in-nature,51.5074,-0.1278,country
fillaree-refill,39.8283,-98.5795,country
fillgood,-41.2865,174.7762,city
fill-it-forward,45.4215,-75.6972,country
fill-refill-co,42.3251,-72.6412,city
fill-up-buttercup,39.8283,-98.5795,country
finline-furniture,53.3498,-6.2603,country
first-green-store,1.3521,103.8198,country
flo-hygiene,27.7172,85.324,country
flowater,39.8283,-98.5795,country
for-earths-sake,51.2362,-0.5704,city
forest-garden-soap,45.4215,-75.6972,country
foreword-coffee,1.3521,103.8198,country
friendlier,45.4215,-75.6972,country
fritz-kola,53.5511,9.9937,city
fundacion-basura,-33.4489,-70.6693,city
fundacion-lenga,-33.4489,-70.6693,country
furugishion,35.6762,139.6503,country
fussy,51.5074,-0.1278,country
fuwa3e,21.0285,105.8542,country
gaia-bags,33.6844,73.0479,city
gcwalisa,-26.2041,28.0473,city
genomma-lab,19.4326,-99.1332,city
get-joni,45.4215,-75.6972,country
gjenge-makers,-1.2921,36.8219,city
glassia,21.0285,105.8542,country
gobeba,-1.2921,36.8219,city
goodfill,-33.9249,18.4241,city
gounpackaged,51.5074,-0.1278,city
go-zero-waste,41.3874,2.1686,city
gracz,13.7563,100.5018,city
gra-de-gracia,41.3874,2.1686,city
gram-malmo,59.3293,18.0686,country
great-wrap,-33.8688,151.2093,country
green-bubble,53.3498,-6.2603,city
greenchar,-1.2921,36.8219,country
green-come-true,39.8283,-98.5795,country
green-joy,10.8231,106.6297,city
green-kulture,1.3521,103.8198,country
green-lady-vietnam,21.0285,105.8542,country
greenpeace-philippines,14.5995,120.9842,city
green-pear-eco,52.2053,0.1218,city
green-revolucia,42.6977,23.3219,country
green-upshot,31.5497,74.3436,city
grin,59.9139,10.7522,city
grove-collaborative,37.7749,-122.4194,city
grums-aarhus,55.6761,12.5683,country
grupo-boticario,-23.5505,-46.6333,country
grupo-modelo,19.4326,-99.1332,city
guppyfriend,52.52,13.405,city
hacari,35.6762,139.6503,city
haeckels,51.5074,-0.1278,country
happi-earth,-33.8688,151.2093,country
havu-cosmetics,60.1699,24.9384,country
havu-solutions,60.1699,24.9384,country
hearth-and-harvest,39.8283,-98.5795,country
helloeco,43.222,76.8512,country
hello-everist,43.6532,-79.3832,city
hetgoed,52.3676,4.9041,country
hey-circle,48.1351,11.582,city
hibar,39.8283,-98.5795,country
himalayan-chef,33.6844,73.0479,country
hispack,41.3874,2.1686,city
hoa-dat-tieu-dung-an-lanh,21.0285,105.8542,country
home-ec-market,39.8283,-98.5795,country
homethings,51.5074,-0.1278,country
hrk-group,10.8231,106.6297,city
humusz-szovetseg,47.4979,19.0402,city
hygiene-of-sweden,59.3293,18.0686,country
ifco,48.1351,11.582,city
i-kasa,35.6762,139.6503,city
ilma-pood,59.437,24.7536,country
ima-group,41.9028,12.4964,country
impacx,32.0853,34.7818,country
incrediballs,-36.8485,174.7633,country
indigo-river-and-co,39.8283,-98.5795,country
indorama-ventures,13.7563,100.5018,city
indo-sole,-8.4095,115.1889,city
inokem,38.7223,-9.1393,country
inpost,52.2297,21.0122,country
interzero,50.9375,6.9603,city
ipohrefill,3.139,101.6869,country
irn-surplus,39.8283,-98.5795,country
istapack,41.0082,28.9784,city
itsbio,59.437,24.7536,country
izifill,-6.2088,106.8456,country
izzy-zero-waste,40.7128,-74.006,city
jdl,39.9042,116.4074,city
jean-bouteille,48.8566,2.3522,country
jentli,39.8283,-98.5795,country
join-the-pipe,52.3676,4.9041,city
jolly-eco,1.3521,103.8198,country
just-good-refills,11.5564,104.9282,country
kamupak,60.1699,24.9384,city
kao,35.6762,139.6503,country
karmamarkt,50.8503,4.3517,country
kazakhunpack,43.222,76.8512,country
keepcup,-37.8136,144.9631,city
khaadi,39.8283,-98.5795,country
khaalisisi,27.7172,85.324,city
kidv,52.3676,4.9041,country
kiima,45.5017,-73.5673,city
kilogram-sis,49.6116,6.1319,country
kinfil,52.3676,4.9041,country
kinkocare,39.8283,-98.5795,country
kita-refill,3.139,101.6869,country
kjaer-weis,40.7128,-74.006,city
kleen-hub,55.6761,12.5683,city
km-packaging,51.5074,-0.1278,country
koko-networks,-1.2921,36.8219,city
kooperatywa,52.2297,21.0122,city
kooshoo,45.4215,-75.6972,country
korea-zero-waste-movement-network,37.5665,126.978,city
kuradashi,35.6762,139.6503,city
la-bob,46.948,7.4474,country
laiday-refill-station,10.8231,106.6297,city
laika,42.6977,23.3219,city
lamazuna,48.8566,2.3522,country
lana,14.5995,120.9842,city
la-nature,19.4326,-99.1332,city
la-quemisterie,-34.6037,-58.3816,city
la-sfuseria,41.9028,12.4964,country
lastobject,55.6761,12.5683,city
laververt,50.8503,4.3517,country
le-drive-tout-nu,48.8566,2.3522,country
lemon-and-lavender,39.8283,-98.5795,country
lena-the-fashion-library,52.3676,4.9041,city
let-it-green,19.4326,-99.1332,city
lets-get-naked-refill,51.5074,-0.1278,country
le-vrac,48.8566,2.3522,country
libattion-ag,47.3769,8.5417,city
lifebag,43.222,76.8512,country
life-essentials-refillery,39.8283,-98.5795,country
limeloop,39.8283,-98.5795,country
lipton,51.5074,-0.1278,country
little-plant-pantry,52.3676,4.9041,city
lizee,48.8566,2.3522,city
l-occitane,43.8368,5.7859,city (manual)
locknlock,37.5665,126.978,city
lola,46.948,7.4474,country
loop,39.8283,-98.5795,country
loopedin,1.3521,103.8198,country
loopfront,59.9139,10.7522,country
looping,59.9139,10.7522,country
loopipak,50.8503,4.3517,country
ma-bouteille-sappelle-reviens,48.8566,2.3522,country
maji-milele,-1.2921,36.8219,city
mapeei-colab,-23.5505,-46.6333,city
maria-granel,38.7223,-9.1393,city
matterpieces,41.1579,-8.6291,city
meadow,59.3293,18.0686,city
megloo,35.6762,139.6503,city
meliora-cleaning,41.8781,-87.6298,city
melodea,32.0853,34.7818,country
meow-meow-tweet,40.7128,-74.006,city
mercado-circular,-33.0472,-71.6127,city
method,37.7749,-122.4194,city
meu-copo-eco,-23.5505,-46.6333,country
mi-barrio-sin-residuos,-25.2637,-57.5759,country
migros,41.0082,28.9784,city
milch-mehrweg-pool,52.52,13.405,country
milly-and-sissy,51.5074,-0.1278,country
mind-the-trash,38.7223,-9.1393,city
minimakers,1.3521,103.8198,country
minimal-waste-grocery,53.3498,-6.2603,country
minimize-zero-waste-store,3.139,101.6869,country
miniml,51.5074,-0.1278,country
minus-zero-waste-store,3.139,101.6869,country
mio-bio,44.4268,26.1025,city
mission-reuse,52.3676,4.9041,country
mission-zero-refill-revolution,-36.8485,174.7633,country
miwa,50.0755,14.4378,city
miya,52.2297,21.0122,country
moon-berry-made,39.8283,-98.5795,country
moreloop,13.7563,100.5018,country
mosaiq-group,45.4642,9.19,city
mottainai-refill,6.2442,-75.5812,city
movopack,45.4642,9.19,city
muji,35.6762,139.6503,country
multi-pack,33.6844,73.0479,country
muuse,1.3521,103.8198,country
muvmi,13.7563,100.5018,city
myearth,1.3521,103.8198,country
my-green-pod,51.5074,-0.1278,country
mymizu,35.6762,139.6503,city
mymizu-ph,35.6762,139.6503,country
my-naked-bar,1.3521,103.8198,country
myro,39.8283,-98.5795,country
naber-si,50.0755,14.4378,city
nashonuma,31.5497,74.3436,city
natura,-23.5505,-46.6333,city
natural-living,55.6761,12.5683,country
naturals-by-watsons,22.3193,114.1694,city
natures-organics,-33.8688,151.2093,country
neat,51.5074,-0.1278,country
netpak-ambalaj,41.0082,28.9784,city
net-zero-co,39.8283,-98.5795,country
new-era,50.8503,4.3517,city
noms,53.3498,-6.2603,city
nopa-move,10.8231,106.6297,city
no-tox-life,30.2672,-97.7431,city
nourishing-neighbours,-37.8136,144.9631,city
nude-foods,-33.9249,18.4241,city
nuhunambari,39.9334,32.8597,country
null-zero-waste-factory,3.139,101.6869,city
numafa,52.3676,4.9041,country
nuud,52.3676,4.9041,country
oaklands-farm,-36.8485,174.7633,country
oasis-packaging-industries,31.5497,74.3436,city
o-cantinho-do-al,38.7223,-9.1393,country
ocean-lanka,6.9271,79.8612,country
oceansaver,51.5074,-0.1278,country
o-granel-da-sofia,38.7223,-9.1393,country
oko-creations,45.4215,-75.6972,country
okofamilien,55.6761,12.5683,country
omo,51.5074,-0.1278,city
ong-hut-co,10.8231,106.6297,city
opa,32.0853,34.7818,city
opack,3.139,101.6869,country
orbis-europe,52.52,13.405,country
organic-village,13.7563,100.5018,city
otrium,52.3676,4.9041,city
ozarka,52.3676,4.9041,city
package-free-shop,40.7128,-74.006,city
packaging-cluster-green-impackt,40.4168,-3.7038,country
packback,52.3676,4.9041,country
packoorang,59.9139,10.7522,country
pafyll,59.9139,10.7522,country
pak-packages,31.5497,74.3436,city
pakpet,24.8607,67.0011,city
paptic,60.1699,24.9384,country
paraguay-sin-basura,-25.2637,-57.5759,country
pax-whole-foods-eco-goods,53.3498,-6.2603,country
peerby,52.3676,4.9041,city
pfaffhusli,46.948,7.4474,country
pick-n-pay,-33.9249,18.4241,city
pimpant,48.8566,2.3522,country
pizza-4ps,10.8231,106.6297,city
plaine-products,39.8283,-98.5795,country
planet-organic,51.5074,-0.1278,city
planet-renu,39.8283,-98.5795,country
planet-reuse,52.3676,4.9041,country
plantish-future,49.2827,-123.1207,city
plastic-free-life,42.6977,23.3219,city
plastic-free-lisbon,38.7223,-9.1393,city
pneedles,6.5244,3.3792,country
polylayertech,41.9028,12.4964,country
precious-plastic-bangkok,13.7563,100.5018,city
propack,-34.9011,-56.1645,country
public-goods,40.7128,-74.006,city
pure-north,64.1466,-21.9426,country
qualy,13.7563,100.5018,country
qyos,-6.2088,106.8456,city
raas,32.0853,34.7818,city
rampe5-zerowaste-ladencafe,47.3769,8.5417,city
rataplan,52.3676,4.9041,country
r-buy-smart-refill,12.9716,77.5946,city
reath,55.9533,-3.1883,city
reciclaje-moreno,10.4806,-66.9036,country
reciclarte,10.4806,-66.9036,country
recicla-y-reusa-venezuela,10.4806,-66.9036,country
recircle-ag-switzerland,46.948,7.4474,country
recircle-denmark,55.6761,12.5683,country
recircle-ireland,51.8985,-8.4756,city
reco,51.5074,-0.1278,country
recolecc,-12.0464,-77.0428,country
recovo,41.3874,2.1686,city
recup-rebowl-germany,48.1351,11.582,city
recup-uk,51.5074,-0.1278,city
refillabels-mumbai,19.076,72.8777,city
refillables-hoi-an,21.0285,105.8542,country
refill-deutschland,52.52,13.405,country
refilled,-33.8688,151.2093,city
refiller-mobile,3.139,101.6869,country
refill-h2o-ipvc,38.7223,-9.1393,country
refill-ie,53.3498,-6.2603,country
refill-lab,-34.6037,-58.3816,country
refill-mill,51.5074,-0.1278,country
refillmybottle,-8.4095,115.1889,city
refill-n-refresh,39.8283,-98.5795,country
refillnz,-41.2865,174.7762,city
refill-swiss,46.948,7.4474,country
refillz,42.4154,-71.1565,city
refilme,-23.5505,-46.6333,country
refind,6.9271,79.8612,country
regn,51.5074,-0.1278,country
rekrabicka-rekelimek,50.0755,14.4378,country
repack,60.1699,24.9384,city
replated,-33.8688,151.2093,country
replenish-refillery-canada,45.4215,-75.6972,country
replenish-refillery-us,39.8283,-98.5795,country
replenish-supermarket,45.4215,-75.6972,country
restart-project,51.5074,-0.1278,city
rethink-bioclean,45.4215,-75.6972,country
retuna-aterbruksgalleria,59.3293,18.0686,country
returnit,37.5665,126.978,city
returnity,40.7128,-74.006,city
returnr,-33.8688,151.2093,country
re-up-refills,39.8283,-98.5795,country
reusables-com,49.2827,-123.1207,city
re-use-austria,48.2082,16.3738,country
reuse-network,51.5074,-0.1278,country
reuso-io,41.8781,-87.6298,city
reuzi,53.3498,-6.2603,city
rewe-group,50.9375,6.9603,city
rezero-foundation,41.3874,2.1686,city
re-zip,55.6761,12.5683,country
rhinopaq,52.52,13.405,country
rimani-venezia,41.9028,12.4964,country
ringkarp,59.437,24.7536,country
ringo-eco,59.437,24.7536,country
rituals,52.3676,4.9041,city
robuust,51.2194,4.4025,city
roots-collective,14.5995,120.9842,country
rreuse,50.8503,4.3517,city
ruohonjuuri,60.1699,24.9384,city
rustic-strength,39.8283,-98.5795,country
sabon-depot,14.5995,120.9842,country
saffron-and-serai,3.139,101.6869,city
salubata,39.8283,-98.5795,country
sanergy,-1.2921,36.8219,city
sanima,-12.0464,-77.0428,city
sankoty-sustainables,39.8283,-98.5795,country
sans-market,39.8283,-98.5795,country
sao-joao-da-madeira,38.7223,-9.1393,country
saponetti,43.6532,-79.3832,city
saveboard,-33.8688,151.2093,country
savonnerie-des-diligences,45.4215,-75.6972,country
schoeller-allibert,52.3676,4.9041,country
scoop-wholefoods,1.3521,103.8198,country
searious-business-mossup,52.3676,4.9041,country
seekers-spirits,11.5564,104.9282,country
sesi,51.5074,-0.1278,country
seventh-generation,44.4759,-73.2121,city (manual)
sf-express,39.9042,116.4074,country
shareclub,53.3498,-6.2603,city
shuangti,39.9042,116.4074,country
siklus,-6.9175,107.6191,city (manual)
simple-switch,39.7392,-104.9903,city
simula,14.5995,120.9842,country
sinba,-12.0464,-77.0428,country
sixth-and-zero,39.8283,-98.5795,country
skubu,-26.2041,28.0473,city
slo-store,14.5995,120.9842,country
smartfilter,19.4326,-99.1332,country
smol,51.5074,-0.1278,country
sodastream,32.0853,34.7818,city (manual)
soeder,47.3769,8.5417,city
sol-goods,-36.8485,174.7633,country
solidarity-market-bonpland,-34.6037,-58.3816,city
solid-oral-care,-36.8485,174.7633,country
somos-tierra,19.4326,-99.1332,country
sonora-reffilery,39.8283,-98.5795,country
sourceful,53.4808,-2.2426,city
spin-by-valorlux,49.6116,6.1319,country
splosh,53.3811,-1.4701,city (manual)
spruce,51.5074,-0.1278,city
station-zero,42.6977,23.3219,city
studio-fletta,64.1466,-21.9426,country
suds-refillery,39.8283,-98.5795,country
sunbird-straws,12.9716,77.5946,city
sun-moon-rain,39.8283,-98.5795,country
sunsilk-pakistan-refill,33.6844,73.0479,country
superdreckskescht,49.6116,6.1319,country
suppli,43.6532,-79.3832,city
sustain-la,34.0522,-118.2437,city
sustenir,1.3521,103.8198,country
swapfiets,52.3676,4.9041,country
swapp,52.2297,21.0122,country
taluelu,59.437,24.7536,country
tap-hoa-la-xanh,10.8231,106.6297,city
tarim-kredi-sifir-market,39.9334,32.8597,city
tarra-verpakkingsvrij,50.8503,4.3517,country
teko,14.5995,120.9842,country
teo-straw,21.0285,105.8542,country
terracycle,39.8283,-98.5795,country
terra-refill,19.4326,-99.1332,country
tetra-pak-paraguay,-25.2637,-57.5759,country
thanks-to-love-zero-waste-shop,37.5665,126.978,city
the-body-shop,50.809,-0.545,city (manual)
the-bulk-house,39.9042,116.4074,city
the-castile-soap-shop,1.3521,103.8198,country
thecircularlab,40.4168,-3.7038,country
the-clean-kilo,51.5074,-0.1278,country
the-collective-dsm,39.8283,-98.5795,country
the-ditty-bag,39.8283,-98.5795,country
the-eco-alchemist,45.4215,-75.6972,country
the-eco-flamingo,41.8781,-87.6298,city
the-eco-refill-station,-33.8688,151.2093,country
the-filling-station-eco-store,53.3498,-6.2603,country
the-good-fill,39.8283,-98.5795,country
the-green-bee,39.8283,-98.5795,country
the-green-collective,1.3521,103.8198,country
the-green-jar,43.6532,-79.3832,city
the-green-market-bali,-8.665,115.165,city
the-green-tap,-33.9249,18.4241,city
the-greet,37.5665,126.978,country
the-mayan-collective,39.8283,-98.5795,country
the-nature-masons,28.6139,77.209,country
the-olive-branch,51.8985,-8.4756,city
the-purest-solutions,41.0082,28.9784,city
the-refillable-van,51.5074,-0.1278,country
the-refill-coalition,51.5074,-0.1278,country
the-refill-company,45.4215,-75.6972,country
the-refillery,55.9533,-3.1883,city
the-refillery-storehouse,40.7128,-74.006,city
the-refill-shoppe,34.0522,-118.2437,city (manual)
the-social-space,1.3521,103.8198,country
the-source-bulk-foods,51.5074,-0.1278,country
the-sustainability-project,1.3521,103.8198,country
the-swapshop,52.3676,4.9041,city
the-tare-market,44.9778,-93.265,city
the-unwaste-shop,41.8781,-87.6298,city
the-wallet-shop,1.3521,103.8198,country
the-wally-shop,40.7128,-74.006,city
the-waste-free-co,59.3293,18.0686,country
tierra-verde,42.6977,23.3219,country
tingi-station,14.5995,120.9842,country
tipa,32.0853,34.7818,country
tip-toe-eco-marketplace,39.8283,-98.5795,country
tnt-bags,-12.0464,-77.0428,country
tomra-reuse,55.6761,12.5683,country
tosca,39.8283,-98.5795,country
totoya,35.6762,139.6503,country
touch-the-toes,1.3521,103.8198,country
tramuco-coopi,10.4806,-66.9036,country
trash-hero-czech-republic,50.0755,14.4378,country
trashit,24.8607,67.0011,city
truly-free-home,39.8283,-98.5795,country
tulu,32.0853,34.7818,city
turtle-green,45.4215,-75.6972,country
ubq-materials,32.0853,34.7818,city
unboxed-market,43.6532,-79.3832,city
unibag,-33.4489,-70.6693,city
unilever-colombia-fab-dirt-is-good,4.711,-74.0721,country
unilever-global-refill,51.5074,-0.1278,city
unilever-sedal-mexico,19.4326,-99.1332,country
uni-refill,39.8283,-98.5795,country
unit-goods,60.1699,24.9384,country
unpackaged-eco,-37.8136,144.9631,city
unpackt,1.3521,103.8198,country
unscented-company,45.4215,-75.6972,country
unverpackt,52.52,13.405,city
urcup,52.2297,21.0122,city
uzaje,48.8566,2.3522,country
vegan-dukkan,41.0082,28.9784,city
venezolana-de-reciclaje,10.4806,-66.9036,country
venezuela-refill-initiative,10.4806,-66.9036,country
verdemar,-23.5505,-46.6333,country
verde-market,25.7617,-80.1918,city
vietnam-zero-waste-alliance,21.0285,105.8542,country
village-general-store,39.8283,-98.5795,country
vs-home-veggie-restaurant-cafe,21.0285,105.8542,city
vytal,50.9375,6.9603,city (manual)
wasteless,39.8283,-98.5795,country
wasteupso-zero-waste-shop,37.5665,126.978,city
waterkiosk-africa,-1.2921,36.8219,country
waterpod-by-i-drop,-25.7479,28.2293,country
we-fill-good,39.8283,-98.5795,country
well-spent-grain,53.3498,-6.2603,city
wheedle,12.9716,77.5946,city
wild,51.5074,-0.1278,city (manual)
wildcraft,43.6532,-79.3832,city
wobz,45.764,4.8357,city
woodly,60.1699,24.9384,city
woola,59.437,24.7536,country
woosh-water,32.0853,34.7818,city
wura,6.5244,3.3792,country
xiclo,4.711,-74.0721,city
xiclo-biocirculo,4.711,-74.0721,city
xxl-refill,38.7223,-9.1393,country
yes-future,41.3874,2.1686,city
yope,52.2297,21.0122,city
yourgreenkit,49.6116,6.1319,country
your-sustainable-store,1.3521,103.8198,country
zacros,35.6762,139.6503,city
zemito,48.1486,17.1077,country
zero-impack,45.4642,9.19,city
zero-market,19.4326,-99.1332,city
zeroo,38.7223,-9.1393,city
zerooo,53.5511,9.9937,city
zero-pc,35.6762,139.6503,country
zeropolitan,-37.8136,144.9631,city
zeroposro,28.6139,77.209,country
zero-store,51.5074,-0.1278,country
zero-waste-austria,48.2082,16.3738,city
zero-waste-delivery,51.2362,-0.5704,city
zero-waste-earth-store,3.139,101.6869,country
zero-waste-harare,-17.8252,31.0335,country
zero-waste-kenya,-1.2921,36.8219,country
zero-waste-malaysia,3.139,101.6869,country
zero-waste-on-wheels,51.5074,-0.1278,country
zero-waste-reserve,39.8283,-98.5795,country
zero-waste-sofia,42.6977,23.3219,city
zero-waste-store-nl,52.3676,4.9041,country
zerowaste-switzerland,46.948,7.4474,country
zoja,-34.6037,-58.3816,city
zoya,42.6977,23.3219,city
zto,31.2304,121.4737,city
z-w-mercantile,39.8283,-98.5795,country
b-merang,41.3874,2.1686,city
bopaq,45.5017,-73.5673,city
forever-ware,44.9778,-93.265,city
deliverzero,40.7128,-74.006,city
vessel,40.015,-105.2705,city
pyxo,48.8566,2.3522,city
pizzycle,50.1055,8.7663,city
ridwell,47.6062,-122.3321,city
borro,50.8503,4.3517,city
re-universe,51.5074,-0.1278,country
retrocycle,39.4817,-106.0384,city
kocup,52.52,13.405,city
polytag,51.5074,-0.1278,country
twintag,51.1747,4.8306,city
yantra-packs,28.6139,77.209,country
packmile,12.9716,77.5946,city
pactozero,40.4168,-3.7038,country
smartfill,-25.7479,28.2293,country
ecandi-eco-bulk-bar-refill-station,-1.2921,36.8219,city
azikho,-29.5378,31.2144,city
